Score Date
147976 2022-02-01
147977 2022-02-01
147979 2022-02-01
147989 2022-02-01
147990 2022-02-01
148000 2022-02-01
148001 2022-02-01
148004 2022-02-02
148010 2022-02-02
148012 2022-02-02
148014 2022-02-02
148016 2022-02-02
148018 2022-02-02
147275 2022-02-02
147297 2022-02-02
148056 2022-02-03
148066 2022-02-03
149497 2022-02-07
146730 2022-02-07
145202 2022-02-07
144601 2022-02-07
143963 2022-02-07
143189 2022-02-07
135137 2022-02-07
135428 2022-02-08
133730 2022-02-08
133732 2022-02-08
133199 2022-02-08
132526 2022-02-08
131852 2022-02-08
130878 2022-02-08
